Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Severe OA (pH 7.5)	Higher	GWK47_023637	1521	0.37	0.09	0.0011	2.98	GUF1	Translation factor GUF1, mitochondrial	A6QLJ3	1.66E-263	Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)	positive regulation of translation [GO:0045727]; translation [GO:0006412]
Severe OA (pH 7.5)	Higher	GWK47_022183	430	0.37	0.11	0.0080	2.10		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_023833	945	0.37	0.11	0.0056	2.25	Polr1c	DNA-directed RNA polymerases I and III subunit RPAC1	P52432	1.32E-97	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPC40)	DNA-templated transcription [GO:0006351]
Severe OA (pH 7.5)	Higher	GWK47_030057	4070	0.36	0.17	0.0322	1.49	ACOT1_2	Acyl-coenzyme A thioesterase 1	Q86TX2	8.83E-71	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (CTE-Ib) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	acyl-CoA metabolic process [GO:0006637]; fatty acid metabolic process [GO:0006631]; long-chain fatty acid metabolic process [GO:0001676]; very long-chain fatty acid metabolic process [GO:0000038]
Severe OA (pH 7.5)	Higher	GWK47_051489	4496	0.36	0.19	0.0479	1.32	Mp20_1	Muscle-specific protein 20	P14318	1.45E-46	Muscle-specific protein 20	actin filament organization [GO:0007015]; myoblast fusion [GO:0007520]; regulation of myoblast fusion [GO:1901739]
Severe OA (pH 7.5)	Higher	GWK47_035555	3456	0.36	0.08	0.0007	3.15	Ndufs3	NADH dehydrogenase [ubiquinone	Q9VZU4	1.30E-101	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (NADH dehydrogenase (Ubiquinone) 30 kDa subunit)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; reactive oxygen species metabolic process [GO:0072593]
Severe OA (pH 7.5)	Higher	GWK47_038427	1087	0.36	0.11	0.0046	2.33	Mrpl12	39S ribosomal protein L12, mitochondrial	Q9DB15	3.88E-17	Large ribosomal subunit protein bL12m (39S ribosomal protein L12, mitochondrial) (L12mt) (MRP-L12) [Cleaved into: Large ribosomal subunit protein bL12m, long mature form; Large ribosomal subunit protein bL12m, short mature form]	mitochondrial transcription [GO:0006390]; mitochondrial translation [GO:0032543]; positive regulation of DNA-templated transcription [GO:0045893]
Severe OA (pH 7.5)	Higher	GWK47_053446	29347	0.36	0.12	0.0083	2.08	CBS	Cystathionine beta-synthase	P35520	6.04E-210	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	blood vessel diameter maintenance [GO:0097746]; blood vessel remodeling [GO:0001974]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cellular response to hypoxia [GO:0071456]; cerebellum morphogenesis [GO:0021587]; cysteine biosynthetic process [GO:0019344]; cysteine biosynthetic process from serine [GO:0006535]; cysteine biosynthetic process via cystathionine [GO:0019343]; DNA protection [GO:0042262]; endochondral ossification [GO:0001958]; homocysteine catabolic process [GO:0043418]; homocysteine metabolic process [GO:0050667]; hydrogen sulfide biosynthetic process [GO:0070814]; L-cysteine catabolic process [GO:0019448]; L-serine catabolic process [GO:0006565]; L-serine metabolic process [GO:0006563]; maternal process involved in female pregnancy [GO:0060135]; negative regulation of apoptotic process [GO:0043066]; regulation of JNK cascade [GO:0046328]; regulation of nitric oxide mediated signal transduction [GO:0010749]; response to folic acid [GO:0051593]; superoxide metabolic process [GO:0006801]; transsulfuration [GO:0019346]
Severe OA (pH 7.5)	Higher	GWK47_035388	565	0.35	0.14	0.0237	1.62	H3F3C	histone H3.3C	Q6NXT2	3.18E-34	Histone H3.3C (Histone H3.5)	positive regulation of cell growth [GO:0030307]
Severe OA (pH 7.5)	Higher	GWK47_027788	215	0.35	0.11	0.0077	2.11	Rccd1	RCC1 domain-containing protein 1	Q8BTU7	7.63E-24	RCC1 domain-containing protein 1	chromatin organization [GO:0006325]
Severe OA (pH 7.5)	Higher	GWK47_015197	581	0.35	0.12	0.0095	2.02	Caskin1	Caskin-1				
Severe OA (pH 7.5)	Higher	GWK47_037062	347	0.35	0.10	0.0048	2.32		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_011520	186	0.35	0.17	0.0364	1.44	Myo5a_0	Unconventional myosin-Va	Q99104	5.08E-131	Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle)	actin filament-based movement [GO:0030048]; cellular response to insulin stimulus [GO:0032869]; chemical synaptic transmission [GO:0007268]; developmental pigmentation [GO:0048066]; endoplasmic reticulum localization [GO:0051643]; establishment of endoplasmic reticulum localization to postsynapse [GO:0099089]; exocytosis [GO:0006887]; hair follicle maturation [GO:0048820]; insulin secretion [GO:0030073]; locomotion involved in locomotory behavior [GO:0031987]; long-chain fatty acid biosynthetic process [GO:0042759]; melanin biosynthetic process [GO:0042438]; melanin metabolic process [GO:0006582]; melanocyte differentiation [GO:0030318]; melanosome localization [GO:0032400]; melanosome transport [GO:0032402]; myelination [GO:0042552]; odontogenesis [GO:0042476]; pigmentation [GO:0043473]; protein localization to plasma membrane [GO:0072659]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; secretory granule localization [GO:0032252]; synapse organization [GO:0050808]; vesicle transport along actin filament [GO:0030050]; vesicle-mediated transport [GO:0016192]; visual perception [GO:0007601]
Severe OA (pH 7.5)	Higher	GWK47_051128	8420	0.35	0.16	0.0315	1.50	Ggh	Gamma-glutamyl hydrolase	Q9Z0L8	7.66E-56	Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (FGPH) (Folylpolyglutamate hydrolase) (GH) (Gamma-Glu-x carboxypeptidase)	
Severe OA (pH 7.5)	Higher	GWK47_021767	589	0.35	0.09	0.0024	2.61	mRpL41	39S ribosomal protein L41, mitochondrial	Q7JZM8	2.78E-18	Large ribosomal subunit protein mL41 (39S ribosomal protein L41, mitochondrial) (L41mt) (MRP-L41)	mitochondrial translation [GO:0032543]; translation [GO:0006412]
Severe OA (pH 7.5)	Higher	GWK47_008602	398	0.35	0.13	0.0138	1.86	Sars2_1	Serine--tRNA ligase, mitochondrial	Q9JJL8	5.90E-102	Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	seryl-tRNA aminoacylation [GO:0006434]
Severe OA (pH 7.5)	Higher	GWK47_041948	82	0.35	0.16	0.0326	1.49		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_045233	436	0.35	0.11	0.0066	2.18	cdk7	Cyclin-dependent kinase 7	P20911	6.57E-23	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (40 kDa protein kinase) (CDC2/CDK2,4-activating kinase) (Cell division protein kinase 7) (P40 MO15)	cell division [GO:0051301]; meiotic cell cycle [GO:0051321]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle [GO:0051726]; transcription initiation at RNA polymerase II promoter [GO:0006367]
Severe OA (pH 7.5)	Higher	GWK47_050520	1504	0.35	0.09	0.0018	2.74	RRS1	Ribosome biogenesis regulatory	Q2KIH4	5.40E-32	Ribosome biogenesis regulatory protein homolog	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; mitotic metaphase chromosome alignment [GO:0007080]; protein localization to nucleolus [GO:1902570]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]
Severe OA (pH 7.5)	Higher	GWK47_027970	14606	0.34	0.12	0.0150	1.82	tpi1b_0	Triosephosphate isomerase B	A0A1L5YRA2	2.81E-173	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Allergen Scy p 8) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Scy p 8.0101)	gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]; methylglyoxal biosynthetic process [GO:0019242]
Severe OA (pH 7.5)	Higher	GWK47_051605	887	0.34	0.09	0.0015	2.82	sae1	SUMO-activating enzyme subunit 1	Q28DS0	1.66E-71	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A)	protein sumoylation [GO:0016925]
Severe OA (pH 7.5)	Higher	GWK47_043980	136	0.34	0.16	0.0369	1.43	IARS2_1	Isoleucine--tRNA ligase, mitochondrial	Q4R646	1.66E-32	Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	isoleucyl-tRNA aminoacylation [GO:0006428]; mitochondrial translation [GO:0032543]
Severe OA (pH 7.5)	Higher	GWK47_029746	151	0.34	0.15	0.0333	1.48		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_034348	614	0.34	0.09	0.0016	2.79	ccdc25_1	Coiled-coil domain-containing protein 25	Q7T312	2.85E-70	Coiled-coil domain-containing protein 25	positive regulation of cell motility [GO:2000147]
Severe OA (pH 7.5)	Higher	GWK47_005979	12283	0.34	0.14	0.0220	1.66	PGAM2	Phosphoglycerate mutase 2	Q32KV0	1.60E-123	Phosphoglycerate mutase 2 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 2)	glycolytic process [GO:0006096]
Severe OA (pH 7.5)	Higher	GWK47_013756	1136	0.34	0.08	0.0014	2.86		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_027395	1442	0.34	0.08	0.0011	2.97	MRPL30	39S ribosomal protein L30, mitochondrial	Q58DV5	1.01E-12	Large ribosomal subunit protein uL30m (39S ribosomal protein L30, mitochondrial) (L30mt) (MRP-L30)	translation [GO:0006412]
Severe OA (pH 7.5)	Higher	GWK47_048997	3458	0.34	0.09	0.0024	2.61	NDUBA	NADH dehydrogenase [ubiquinone	Q1HPL8	6.10E-65	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	
Severe OA (pH 7.5)	Higher	GWK47_041803	353	0.34	0.11	0.0084	2.08		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_050780	2816	0.34	0.09	0.0018	2.74	l(2)37Cc_0	Protein l(2)37Cc	P24156	4.08E-31	Prohibitin 1 (Protein l(2)37Cc)	cellular response to hypoxia [GO:0071456]; mitochondrion organization [GO:0007005]
Severe OA (pH 7.5)	Higher	GWK47_024731	675	0.34	0.09	0.0034	2.47	Mrpl58	Peptidyl-tRNA hydrolase ICT1, mitochondrial	Q8R035	6.28E-24	Large ribosomal subunit protein mL62 (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Immature colon carcinoma transcript 1 protein homolog) (Peptidyl-tRNA hydrolase ICT1, mitochondrial) (EC 3.1.1.29)	mitochondrial translation [GO:0032543]; mitochondrial translational termination [GO:0070126]; rescue of stalled ribosome [GO:0072344]
Severe OA (pH 7.5)	Higher	GWK47_007501	574	0.34	0.09	0.0016	2.79	prmt6	Protein arginine N-methyltransferase 6	Q6NWG4	1.96E-83	Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT6)	chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; methylation [GO:0032259]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; regulation of DNA-templated transcription [GO:0006355]
Severe OA (pH 7.5)	Higher	GWK47_023756	1137	0.34	0.13	0.0207	1.68	Bub1b	Mitotic checkpoint serine/threonine-protein kinase BUB1	O43683	1.59E-63	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	apoptotic process [GO:0006915]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle assembly checkpoint signaling [GO:0007094]; positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric [GO:2000720]; regulation of chromosome segregation [GO:0051983]; regulation of sister chromatid cohesion [GO:0007063]
Severe OA (pH 7.5)	Higher	GWK47_006583	1317	0.33	0.09	0.0024	2.61		Elongation factor G, mitochondrial	B0WGM1	3.81E-153	Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)	mitochondrial translational elongation [GO:0070125]
Severe OA (pH 7.5)	Higher	GWK47_024076	550	0.33	0.12	0.0160	1.80		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_046392	867	0.33	0.07	0.0003	3.48	metap1	Methionine aminopeptidase 1	Q7ZWV9	1.09E-110	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	proteolysis [GO:0006508]
Severe OA (pH 7.5)	Higher	GWK47_040738	7186	0.33	0.07	0.0003	3.48	SUB1	Activated RNA polymerase II transcriptional coactivator p15	Q5ZK63	2.23E-17	Activated RNA polymerase II transcriptional coactivator p15 (SUB1 homolog)	positive regulation of transcription initiation by RNA polymerase II [GO:0060261]
Severe OA (pH 7.5)	Higher	GWK47_046794	9834	0.32	0.09	0.0024	2.61	EEF1D	Elongation factor 1-delta	Q4R3D4	1.01E-66	Elongation factor 1-delta (EF-1-delta)	
Severe OA (pH 7.5)	Higher	GWK47_053412	61810	0.32	0.08	0.0015	2.82	Cyp1	Peptidyl-prolyl cis-trans isomerase	P0C1H7	2.31E-92	Peptidyl-prolyl cis-trans isomerase A1 (PPIase A1) (EC 5.2.1.8) (Cyclophilin A1) (Cyclosporin A-binding protein) (Rotamase A1)	protein folding [GO:0006457]
Severe OA (pH 7.5)	Higher	GWK47_019963	296	0.32	0.12	0.0153	1.82		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_013654	224	0.32	0.15	0.0358	1.45	Prkg1	cGMP-dependent protein kinase 1	P32023	1.85E-22	cGMP-dependent protein kinase, isozyme 2 forms cD5/T2 (cGK) (EC 2.7.11.12) (Foraging protein)	feeding behavior [GO:0007631]; habituation [GO:0046959]; larval feeding behavior [GO:0030536]; larval locomotory behavior [GO:0008345]; long-term memory [GO:0007616]; motor neuron axon guidance [GO:0008045]; protein phosphorylation [GO:0006468]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of heart contraction [GO:0008016]; regulation of response to food [GO:0032095]; response to sucrose [GO:0009744]; short-term memory [GO:0007614]
Severe OA (pH 7.5)	Higher	GWK47_004738	2604	0.32	0.11	0.0127	1.90	NDUFB8	NADH dehydrogenase [ubiquinone	Q02372	4.00E-31	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
Severe OA (pH 7.5)	Higher	GWK47_022525	725	0.32	0.11	0.0134	1.87	MRPL48	39S ribosomal protein L48, mitochondrial	Q2YDI5	8.68E-18	Large ribosomal subunit protein mL48 (39S ribosomal protein L48, mitochondrial) (L48mt) (MRP-L48)	
Severe OA (pH 7.5)	Higher	GWK47_041296	311	0.32	0.12	0.0251	1.60	shcbp1-b_1	SHC SH2 domain-binding protein 1 B	Q640F2	1.57E-34	SHC SH2 domain-binding protein 1 homolog B	fibroblast growth factor receptor signaling pathway [GO:0008543]; regulation of neural precursor cell proliferation [GO:2000177]
Severe OA (pH 7.5)	Higher	GWK47_037026	282	0.32	0.10	0.0073	2.14	TRMT6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	Q9UJA5	1.65E-44	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (mRNA methyladenosine-N(1)-methyltransferase non-catalytic subunit TRM6) (tRNA(m1A58)-methyltransferase subunit TRM6) (tRNA(m1A58)MTase subunit TRM6)	mRNA processing [GO:0006397]; tRNA methylation [GO:0030488]
Severe OA (pH 7.5)	Higher	GWK47_005725	2857	0.32	0.08	0.0016	2.79	MPC2	Mitochondrial pyruvate carrier 2	O95563	2.31E-29	Mitochondrial pyruvate carrier 2 (Brain protein 44)	mitochondrial pyruvate transmembrane transport [GO:0006850]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; pyruvate decarboxylation to acetyl-CoA [GO:0006086]
Severe OA (pH 7.5)	Higher	GWK47_054643	133	0.32	0.13	0.0289	1.54		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_028384	1080	0.32	0.09	0.0039	2.41	Kri1	Protein KRI1	Q9VTU0	2.32E-65	Protein KRI1 homolog	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]
Severe OA (pH 7.5)	Higher	GWK47_019060	641	0.32	0.09	0.0052	2.29	ANKZF1	Ankyrin repeat and zinc finger domain-containing protein 1	Q58CQ5	6.46E-78	tRNA endonuclease ANKZF1 (EC 3.1.-.-) (Ankyrin repeat and zinc finger domain-containing protein 1)	cellular response to hydrogen peroxide [GO:0070301]; ERAD pathway [GO:0036503]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; rescue of stalled ribosome [GO:0072344]
Severe OA (pH 7.5)	Higher	GWK47_007535	384	0.32	0.11	0.0124	1.91	marf1	Meiosis regulator and mRNA stability factor 1	B2GUN4	3.42E-217	Meiosis regulator and mRNA stability factor 1 (Limkain-b1) (Meiosis arrest female protein 1 homolog)	meiotic cell cycle [GO:0051321]; oogenesis [GO:0048477]; regulation of gene expression [GO:0010468]
Severe OA (pH 7.5)	Higher	GWK47_042301	9454	0.32	0.09	0.0045	2.34	Ndufs2	NADH dehydrogenase [ubiquinone	Q641Y2	7.28E-248	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	cellular response to oxygen levels [GO:0071453]; gliogenesis [GO:0042063]; mitochondrial ATP synthesis coupled electron transport [GO:0042775]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; neural precursor cell proliferation [GO:0061351]; neurogenesis [GO:0022008]
Severe OA (pH 7.5)	Higher	GWK47_038056	71	0.31	0.13	0.0203	1.69		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_017427	243	0.31	0.12	0.0176	1.76		hypothetical protein				
Severe OA (pH 7.5)	Higher	GWK47_005189	312	0.31	0.14	0.0319	1.50	mRpS7_1	28S ribosomal protein S7, mitochondrial	Q9VKX4	3.62E-47	Small ribosomal subunit protein uS7m (28S ribosomal protein S7, mitochondrial) (MRP-S7) (S7mt)	mitochondrial translation [GO:0032543]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
Severe OA (pH 7.5)	Higher	GWK47_005779	8064	0.31	0.09	0.0052	2.28	Slc25a3_1	Phosphate carrier protein, mitochondrial	Q5R7W2	3.13E-180	Solute carrier family 25 member 3 (Phosphate carrier protein, mitochondrial) (Phosphate transport protein) (PTP)	mitochondrial phosphate ion transmembrane transport [GO:1990547]
Severe OA (pH 7.5)	Higher	GWK47_003875	201	0.31	0.13	0.0319	1.50	Ska1	Spindle and kinetochore-associated protein 1	B0BN28	3.66E-11	SKA complex subunit 1 (Spindle and kinetochore-associated protein 1)	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; establishment of meiotic spindle orientation [GO:0051296]; metaphase chromosome alignment [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of mitotic spindle assembly checkpoint signaling [GO:0140499]; positive regulation of microtubule polymerization [GO:0031116]; regulation of microtubule polymerization or depolymerization [GO:0031110]; spindle assembly involved in female meiosis [GO:0007056]
Severe OA (pH 7.5)	Higher	GWK47_003798	461	0.31	0.12	0.0173	1.76	mRpS25	putative 28S ribosomal protein S25, mitochondrial	Q9VY28	8.45E-58	Small ribosomal subunit protein mS25 (28S ribosomal protein S25, mitochondrial) (MRP-S25) (S25mt)	mitochondrial translation [GO:0032543]
